Metric,"References"
Complete,"[15],[16],[17],[18],[19]"
"Consistent, Conflict-free","[15],[16],[18],[20],[21]"
"Testable, Verifiable, Measurable","[7],[15],[18],[22],[6]"
"Atomic, Closed, Singular, Uniform, Unique","[21],[18],[3],[15]"
"Feasible, Attainable, Realizable","[15],[18],[22]"
Estimable,"[7],[17],[6]"
Readable,"[20],[23],[19]"
Traceable,"[15],[18],[22]"
"Correct, Up-to-date","[25],[19]"
Negotiable,"[7],[6]"
"Volatile, Modifiable, Flexible","[26],[18]"
Valuable,"[7]"
Independent,"[7]"
Small,"[7]"
Specific,"[22]"
"",""
CiteNr,"Text"
[3],"M. Cohn,User Stories Applied: For Agile Software Development,ser. Addison-Wesley Professional. Boston, MA, USA: Addison-Wesley Professional,03 2004."
[6],"R. Jeffries,Essential xp: Card,Conversation,Confirmation,2001. [Online]. Available: https://www.ronjeffries.com/xprog/articles/expcardconversationconfirmation"
[7],"B. Wake,Invest in Good Stories,and Smart Tasks,2003. [Online]. Available: https://www.xp123.com/articles/ invest- in- good- stories- and- smart- tasks"
[15],"ISO, ISO/IEC/IEEE International Standard - Systems and Software Engineering - Life Cycle Processes - Requirements engineering,ISO/IEC/IEEE 29148:2018(E),pp. 1-104,2018."
[16],"B. W. Boehm, Verifying and validating software requirements and design specifications,IEEE Software,vol. 1,no. 1,p. 75,1984."
[17],"G. Lucassen,F. Dalpiaz, J. M. E. M. van der Werf, and S. Brinkkemper,Improving agile requirements: The quality user story framework and tool,Requir. Eng.,vol. 21,no. 3,pp. 383-403,2016."
[18],"A. M. Davis,Software requirements - objects,functions,and states, in Prentice Hall International Editions,1993."
[19],"S. C. B. d. Souza, N. Anquetil, and K. M. d. Oliveira, A study of the documentation essential to software maintenance, ser. Proceedings of the 23rd Annual International Conference on Design of Communication: Documenting & Designing for Pervasive Information, 2005,pp. 68-75."
[20],"R.Flesch, A new readability yardstick. J.Appl.Psychol. ,vol.32,no.3, p. 221,1948."
[21],"G. Lucassen, F. Dalpiaz, J. M. E. M. van der Werf, and S. Brinkkem- per, Forging high-quality user stories: Towards a discipline for agile requirements, in Proceedings of the 23rd International Requirements Engineering Conference, RE 2015. Ottawa,ON,Canada: IEEE Computer Society,August 24-28 2015,pp. 126-135."
[22],"M. Mannion and B. Keepence, Smart requirements, ACM SIGSOFT Software Engineering Notes, vol. 20,03 2004."
[23],"C. J. Stettina and E. Kroon, Is There an Agile Handover? An Empirical Study of Documentation and Project Handover Practices Across Agile Software Teams, ser. International Conference on Engineering Technology and Innovation \&amp; IEEE International Technology Management Conference,2013,pp. 1-12."
[25],"P. Heck and A. Zaidman, A quality framework for agile requirements: A practitioner's perspective, CoRR, vol. abs/1406.4692,p. 11,2014."
[26],"D. Hallmann, The COCOMO-Models in the Light of the Agile Software Development (Translated to English from German), Bamberger Beitrage zur Wirtschaftsinformatik und Angewandeten Informatik, University of Bamberg,Tech. Rep. Technical report no. 104/2018,2018."